ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,ax10,ay10,az10,gx10,gy10,gz10,ax11,ay11,az11,gx11,gy11,gz11,ax12,ay12,az12,gx12,gy12,gz12,ax13,ay13,az13,gx13,gy13,gz13,ax14,ay14,az14,gx14,gy14,gz14,label
-0.77,3.47,2.73,-77.37,-47.69,49.75,-2.31,0.52,6.01,-147.0,-121.69,118.44,-12.01,-4.66,0.05,-80.87,-371.44,-55.63,-9.33,-3.68,-9.87,111.62,-365.06,-306.69,0.0,8.71,-20.62,1.56,362.31,-379.63,-13.31,24.02,3.04,173.0,528.88,245.81,-20.94,-8.78,17.33,-6.56,-57.69,379.69,-8.62,-4.1,-2.03,-67.69,-267.69,126.25,0.96,-1.13,-10.89,-130.31,-114.19,-198.13,0.04,6.5,0.77,84.69,34.44,-61.37,-0.01,1.53,2.26,-54.44,28.44,-12.25,-0.55,0.18,0.04,-75.19,7.87,2.25,-0.32,-0.27,-0.94,11.5,10.19,1.31,-0.1,-0.46,-0.43,-2.81,16.81,-13.06,-0.29,0.08,0.55,-22.0,22.31,-13.56,circleCW
0.28,0.31,-0.39,4.94,6.56,5.12,0.54,2.28,-0.59,-5.0,7.69,2.06,0.74,-4.64,1.97,18.69,35.88,42.62,-17.0,21.65,10.7,-109.87,-83.87,-46.06,-4.01,10.73,-14.63,-33.56,-596.25,-157.5,2.92,-3.4,-6.65,-77.12,201.81,71.25,-0.57,-2.59,-1.72,230.31,102.56,28.94,-0.39,1.87,2.5,37.44,92.44,23.44,-2.0,0.26,2.91,41.19,33.81,21.0,-1.27,0.33,0.71,18.06,-0.62,3.5,-0.4,-0.3,0.23,9.94,4.12,-6.75,-0.09,-0.13,0.08,-4.0,8.0,-14.0,0.19,-0.12,-0.11,16.19,3.12,-4.75,-0.03,-0.4,-0.21,-1.87,4.56,-4.81,-0.18,-0.1,0.1,-1.06,6.5,-2.5,leftSwap
0.33,-0.39,-0.87,-6.56,14.44,17.0,1.73,-0.7,1.06,106.06,87.62,29.37,-13.52,16.14,10.64,-288.69,-94.25,-26.87,-3.84,-0.48,-5.54,-151.0,-588.5,-173.94,0.69,0.72,-12.62,32.94,186.06,31.31,-0.68,-0.18,-0.8,152.44,238.0,60.81,-1.79,-1.37,4.61,30.12,113.5,60.88,-1.99,1.0,3.59,51.25,19.31,13.69,-0.97,0.67,0.78,25.81,-7.19,-5.56,-0.17,-0.24,0.1,-16.87,-0.13,-12.44,0.1,-0.5,-0.05,-4.87,1.12,-10.81,0.04,0.22,-0.2,29.12,-7.25,2.56,0.29,-0.44,-0.33,-13.38,0.0,1.56,-0.4,-0.63,-0.01,-6.75,7.75,-1.44,-0.13,-0.23,0.12,8.13,1.31,-2.37,leftSwap
0.32,-0.35,-0.67,3.81,12.25,4.69,0.47,-0.63,-0.29,29.87,41.44,10.75,-8.26,14.13,18.48,86.12,50.5,-18.69,5.02,-8.05,-3.65,-500.25,-395.63,-236.87,-1.55,2.09,-20.56,-97.5,5.69,25.81,-0.57,-1.17,-3.13,190.81,249.94,59.44,-1.48,2.46,4.36,36.88,145.0,38.13,-1.04,2.05,3.71,131.63,51.31,14.87,-0.76,0.2,1.06,40.94,2.25,0.94,-0.47,-0.43,0.37,-3.19,-3.75,-5.94,0.13,-0.13,-0.1,-16.75,0.62,-11.94,-0.13,-0.41,-0.01,10.94,-2.06,-4.87,-0.04,-0.54,0.02,-1.12,-0.75,-5.19,-0.1,-0.31,-0.09,3.0,2.31,-3.94,-0.02,-0.25,-0.07,-1.25,0.37,-3.12,leftSwap
0.13,-0.15,-0.14,-4.25,7.75,7.19,2.44,0.26,-0.01,-20.62,38.94,8.94,-2.81,-0.83,5.47,162.31,98.37,15.56,-9.01,2.08,-0.96,-148.5,-373.19,34.56,-2.38,-3.66,-15.83,-155.19,-302.87,34.63,2.57,-2.61,-2.84,42.81,239.81,40.19,-1.96,0.31,-0.59,4.81,198.38,20.62,-1.56,-2.9,0.49,59.75,75.56,40.5,-0.9,0.56,0.36,81.56,10.31,10.0,-0.92,0.21,0.42,9.19,1.12,-4.37,-0.13,-0.12,-0.12,9.19,0.56,-10.0,0.32,-1.98,0.23,-17.87,-0.88,-6.62,0.07,-0.3,-0.2,3.5,-6.75,-0.69,-1.08,-0.26,-0.31,-8.63,-16.06,10.19,-0.54,0.49,-0.57,2.12,-21.5,7.62,leftSwap
-0.47,-2.55,-1.73,49.13,-5.5,-105.63,0.27,7.08,0.83,105.94,23.75,-154.12,-9.31,14.13,4.33,-3.75,-70.44,151.37,-8.68,-0.3,-3.24,-244.0,-144.37,525.19,-11.26,-3.89,-4.48,428.12,-75.31,54.88,-22.7,-8.63,1.81,645.44,-480.13,-340.44,1.48,0.48,-5.56,-152.69,238.19,36.5,-1.6,1.62,0.9,188.94,123.19,25.88,-0.99,0.41,-0.04,-15.38,115.56,7.81,-0.8,0.02,0.28,-19.87,92.69,14.69,-0.4,-0.74,-0.03,45.38,60.63,-12.75,-0.24,-1.79,-0.52,50.44,59.69,-37.19,0.86,-1.96,-1.24,1.75,43.13,-52.44,0.51,-0.18,-0.98,-9.81,34.63,-66.25,0.26,-0.11,-0.02,11.0,13.56,-52.88,leftSwap
0.63,-1.26,-0.79,3.31,5.19,19.06,0.42,4.42,11.11,27.75,95.38,-4.69,-7.49,3.26,6.3,-199.06,-334.31,277.0,-13.03,-10.4,-6.8,-279.13,-416.44,222.12,-1.52,-5.63,-5.75,97.37,61.13,-74.44,0.0,1.62,-0.67,80.87,49.5,-70.62,0.71,-0.62,-2.29,63.06,69.0,-57.13,-0.4,-0.45,-0.98,36.0,101.38,-66.31,0.74,-1.14,-1.86,24.69,94.31,-58.5,-0.19,-0.43,0.88,4.87,88.56,-44.44,-0.34,0.74,0.68,9.69,71.12,-28.06,-0.33,0.66,0.76,30.81,32.69,-15.13,-0.18,0.39,0.73,20.81,22.13,-9.94,0.14,-0.36,-0.15,1.81,10.0,-6.0,0.33,-0.21,-0.25,-3.06,7.81,-3.69,leftSwap
0.53,0.74,1.13,1.25,22.31,20.88,-3.1,13.73,14.79,-107.19,35.31,76.06,-2.27,-8.16,-4.83,-26.06,-457.38,-37.63,-2.14,-1.62,-15.21,-47.38,-63.69,-57.25,0.63,1.78,-2.87,93.5,131.0,-35.75,0.11,0.88,0.19,24.56,106.75,-18.44,0.1,0.39,-0.39,-38.69,106.31,-3.62,-1.45,-1.17,1.33,6.69,85.06,-9.0,-0.77,-0.46,1.22,33.94,37.75,-22.56,0.13,0.03,0.35,22.56,18.81,-27.81,0.33,0.86,0.74,13.88,12.5,-13.69,0.26,0.25,0.18,9.5,0.56,5.62,-0.05,-0.38,-0.07,-1.06,-0.88,7.62,0.03,-0.05,-0.05,-1.81,-0.62,7.75,0.42,-0.27,-0.34,1.06,-8.31,16.69,leftSwap
0.06,-0.06,-0.04,18.56,27.87,4.0,-0.25,-0.63,-0.13,17.0,34.88,7.5,-2.27,1.09,10.89,124.19,36.88,13.31,8.29,-5.77,4.22,-293.69,-351.81,-121.13,-4.26,3.2,-19.71,-201.37,-97.75,-13.56,2.52,-0.06,-5.56,207.87,180.06,36.63,-0.91,-0.62,-1.05,-23.94,152.94,2.87,-2.68,-0.99,2.06,33.44,142.62,3.87,-1.15,0.28,1.98,-23.81,67.62,3.37,-0.97,-0.49,1.12,48.13,5.69,1.69,-0.41,-0.59,0.1,17.87,-0.94,-7.12,-0.08,-0.33,0.18,2.25,3.75,-7.94,0.29,-0.27,-0.32,-3.5,0.31,0.13,0.2,-0.14,0.01,1.31,-3.5,1.94,-0.19,-0.25,-0.25,5.12,-1.06,2.62,leftSwap
-0.06,0.0,-0.05,-4.19,-8.5,11.94,0.55,-1.21,0.12,15.69,-16.44,32.0,0.76,-2.61,-0.17,174.06,-5.75,67.06,-9.52,10.8,1.11,56.94,-149.12,75.94,-3.78,-0.47,1.22,115.88,-552.94,-18.75,-1.77,-1.27,-10.71,-108.12,-22.37,53.19,1.61,0.12,0.18,134.37,200.75,22.56,-1.65,0.68,-4.41,-27.5,153.25,12.81,-0.22,-1.73,1.21,23.69,87.62,-16.37,0.39,-1.74,-0.8,-10.25,24.87,-28.62,0.74,-0.47,-0.03,-19.69,7.06,-42.88,0.35,-0.16,-0.31,12.69,12.06,-28.12,0.39,0.59,0.14,-20.56,26.06,-21.12,-0.43,0.31,-0.33,-24.75,11.38,-3.75,0.28,-0.43,0.13,-0.81,2.44,-0.75,leftSwap
