@relation pandasdata
@attribute std0 real
@attribute kur0 real
@attribute skew0 real
@attribute q250 real
@attribute q500 real
@attribute q750 real
@attribute std1 real
@attribute kur1 real
@attribute skew1 real
@attribute q251 real
@attribute q501 real
@attribute q751 real
@attribute std2 real
@attribute kur2 real
@attribute skew2 real
@attribute q252 real
@attribute q502 real
@attribute q752 real
@attribute std3 real
@attribute kur3 real
@attribute skew3 real
@attribute q253 real
@attribute q503 real
@attribute q753 real
@attribute std4 real
@attribute kur4 real
@attribute skew4 real
@attribute q254 real
@attribute q504 real
@attribute q754 real
@attribute std5 real
@attribute kur5 real
@attribute skew5 real
@attribute q255 real
@attribute q505 real
@attribute q755 real
@attribute label{circleCCW,circleCW,downSwap,leftSwap,rightSwap,upSwap}
@data
5.100716289568228,-0.8605244441725439,-0.9220642918445703,-6.655,-0.61,0.22999999999999998,5.9719832392199335,8.24225604738524,2.192234093484505,-0.7949999999999999,0.42,1.855,6.307919587614409,0.44375017673825656,0.5328769282649826,-3.5999999999999996,-0.15,1.98,57.602050170193806,-0.5484799658726214,-0.5573607485556274,-66.125,-19.75,4.6850000000000005,184.8890427822925,2.1295257759952655,1.193509102131805,-118.56,9.44,12.44,175.76991250739457,2.266730129833313,-0.05588505056930639,-44.41,-4.44,61.31,"circleCW"
3.9312517090616317,-1.2337517714237873,-0.695263931051872,-6.805,-1.55,-0.18,5.798893326275611,4.76459083430266,1.8187827093431257,-1.4949999999999999,-0.12,0.365,7.0031073375289905,1.0777897476677483,0.9243607109998216,-1.8699999999999999,-0.66,-0.095,56.49320538158296,0.616775611254794,-0.9991424589424475,-46.56,-9.81,1.03,156.03926957507784,2.1850906098661387,1.4237181890310824,-24.25,-4.37,14.594999999999999,145.71394601687763,1.3256322433752006,-0.1520617537195916,-27.435000000000002,-2.56,54.25,"circleCW"
3.9331224721526765,0.09203662569878057,-1.1694497293121717,-4.27,-0.93,0.13,6.4940023611534565,2.5828867390939987,1.6004421344019224,-1.835,-0.17,1.165,5.995819813678129,2.220850607147157,0.11336254929419881,-2.79,-0.09,0.31,58.540995509455556,-0.5776073782947924,-0.3678528932785614,-74.375,-13.62,4.630000000000001,149.31379123940866,2.714759802044587,0.94819089152586,-47.56,2.62,33.03,176.2473501671795,2.624005128642322,-0.8351774418802547,-34.31,8.69,73.215,"circleCW"
4.310075350131309,0.8145373997795922,-1.2388593367236798,-5.225,-0.19,0.2,6.404923180833706,2.4954363108665936,1.480107370350012,-2.455,-0.3,0.295,5.146460457255572,1.3827452243502085,0.1322984061217999,-2.92,-0.13,0.84,75.58825565113241,-0.11526726309763591,0.021853109301252206,-29.315,-12.63,32.31,139.80788373778535,2.3893054437007137,0.8994007896801702,-56.19,1.94,14.815000000000001,163.53710417196572,1.2700871781849834,-0.49255176409687845,-34.78,3.56,81.75,"circleCW"
3.8286037489751625,0.43564838647285153,-1.1772791192072185,-3.58,-1.85,-0.03,5.89700246695201,2.4738412767317746,1.6524222986429569,-1.96,-0.32,0.5449999999999999,5.252640787079889,0.5448769786367347,-0.7299233727594142,-2.395,0.05,2.045,70.33716434838291,0.8694827409182304,-0.8654010992109699,-44.215,-4.31,26.16,151.5848518722859,1.33507880850095,0.7840034375542069,-64.78,8.44,17.065,168.80797740402582,0.9157642088098399,-0.5355639282437703,-28.810000000000002,4.25,117.03,"circleCW"
4.212334269736912,-1.4080136974814028,-0.5421243610365438,-6.42,-0.59,0.3,6.033810530983677,1.8758343494517202,1.2924405908584018,-1.2650000000000001,0.57,2.025,6.629983480551136,0.7806442542587773,0.7891952374803687,-3.32,-0.78,1.675,62.15053596673468,-0.6315089815172095,-0.2753625178220259,-69.31,-11.25,10.565000000000001,159.70384497562978,0.9921554503377559,0.5409836308297574,-42.370000000000005,3.12,45.22,151.79877880178842,0.5640780342078306,-0.015636128969473043,-35.66,14.75,60.905,"circleCW"
3.121247156109847,-0.22416857757352737,-0.9351221995755957,-4.165,-1.39,0.025,5.115147626226953,0.9220989855019281,0.7590739291219554,-1.525,0.37,2.135,4.611392517708826,0.38573296423971737,0.48414189442927014,-2.89,-0.14,1.115,72.66473047005483,1.3431521157049122,-0.14836422198736215,-44.905,-3.75,7.970000000000001,129.94917204155522,1.4532772228800797,0.7917651041329828,-52.22,-1.25,23.28,149.3273092651875,2.968155830992851,1.4404705886886489,-87.06,-2.12,5.06,"circleCW"
4.330105024570365,-1.0813902650900413,-0.7336747123575152,-6.385,-0.49,0.30000000000000004,7.346185469505991,3.099707792654554,0.8983129714331886,-0.99,-0.07,2.0949999999999998,6.581433698200531,1.178442025056376,0.19548507430360698,-4.99,-0.46,0.2,80.34286060082631,-0.14615486004678235,0.10788590546934883,-89.965,-13.25,-1.375,153.52046785208742,1.5798502352448347,0.730980950420344,-33.75,5.81,11.559999999999999,150.58072437827397,1.673568013738013,0.14530078953472847,-66.345,-7.37,3.0,"circleCW"
3.5090875221480635,-1.14949662502833,-0.587131556822593,-5.715,-1.4,-0.105,6.304672719121754,1.7094736490934226,0.7967366970645864,-1.375,0.38,1.5750000000000002,6.55421768968727,2.256558411211013,1.2843004906071256,-3.585,-0.4,0.405,51.24000299245373,2.667721547761146,-1.2838235836273293,-30.380000000000003,-7.0,6.904999999999999,165.80355070584784,1.4275411712782953,0.8275345140279081,-85.28,-0.62,16.095,137.8554388204577,0.7931059700325758,0.5958275598961796,-75.505,-2.62,8.31,"circleCW"
3.8230706930175287,-1.5710764578182417,-0.4119612696318141,-6.48,-0.81,-0.04,6.812383472135767,1.790719363435703,1.2313623597218655,-1.5950000000000002,0.12,1.9449999999999998,6.4965450158416616,0.9511485593653095,0.20335860551628354,-3.14,-0.21,1.3,48.99650685313723,0.1664163474478939,-0.1684196526318429,-50.185,-8.06,-0.625,155.68212939925286,1.9078220973865987,0.9250123715034095,-21.625,9.38,20.814999999999998,141.75205233418095,0.49697291530767984,-0.0793532313411682,-55.75,3.56,14.655000000000001,"circleCW"
