@relation RandomForestClassifierTest

@attribute ax0 numeric
@attribute ay0 numeric
@attribute az0 numeric
@attribute gx0 numeric
@attribute gy0 numeric
@attribute gz0 numeric
@attribute ax1 numeric
@attribute ay1 numeric
@attribute az1 numeric
@attribute gx1 numeric
@attribute gy1 numeric
@attribute gz1 numeric
@attribute ax2 numeric
@attribute ay2 numeric
@attribute az2 numeric
@attribute gx2 numeric
@attribute gy2 numeric
@attribute gz2 numeric
@attribute ax3 numeric
@attribute ay3 numeric
@attribute az3 numeric
@attribute gx3 numeric
@attribute gy3 numeric
@attribute gz3 numeric
@attribute ax4 numeric
@attribute ay4 numeric
@attribute az4 numeric
@attribute gx4 numeric
@attribute gy4 numeric
@attribute gz4 numeric
@attribute ax5 numeric
@attribute ay5 numeric
@attribute az5 numeric
@attribute gx5 numeric
@attribute gy5 numeric
@attribute gz5 numeric
@attribute ax6 numeric
@attribute ay6 numeric
@attribute az6 numeric
@attribute gx6 numeric
@attribute gy6 numeric
@attribute gz6 numeric
@attribute ax7 numeric
@attribute ay7 numeric
@attribute az7 numeric
@attribute gx7 numeric
@attribute gy7 numeric
@attribute gz7 numeric
@attribute ax8 numeric
@attribute ay8 numeric
@attribute az8 numeric
@attribute gx8 numeric
@attribute gy8 numeric
@attribute gz8 numeric
@attribute ax9 numeric
@attribute ay9 numeric
@attribute az9 numeric
@attribute gx9 numeric
@attribute gy9 numeric
@attribute gz9 numeric
@attribute ax10 numeric
@attribute ay10 numeric
@attribute az10 numeric
@attribute gx10 numeric
@attribute gy10 numeric
@attribute gz10 numeric
@attribute ax11 numeric
@attribute ay11 numeric
@attribute az11 numeric
@attribute gx11 numeric
@attribute gy11 numeric
@attribute gz11 numeric
@attribute ax12 numeric
@attribute ay12 numeric
@attribute az12 numeric
@attribute gx12 numeric
@attribute gy12 numeric
@attribute gz12 numeric
@attribute ax13 numeric
@attribute ay13 numeric
@attribute az13 numeric
@attribute gx13 numeric
@attribute gy13 numeric
@attribute gz13 numeric
@attribute ax14 numeric
@attribute ay14 numeric
@attribute az14 numeric
@attribute gx14 numeric
@attribute gy14 numeric
@attribute gz14 numeric
@attribute label {circleCW,leftSwap,upSwap,rightSwap,downSwap,circleCCW}

@data
0.18,-1.97,0.36,122.37,-22.13,-5.56,1.75,-0.14,-1,234.06,-76,-16.19,3.51,7.55,-11.34,216.69,-177,16.75,-13.01,-0.26,3.42,258.19,665.62,36.06,-16.91,2.77,4.25,157.44,62.75,26.94,-0.45,1.93,0.94,-78.12,-65.37,-45.31,-0.62,-0.09,0.34,-14.81,-25.44,-22.62,0.8,-0.27,1.35,-30.81,-49.81,-7.5,0.29,-0.73,0.7,-67.37,-57.69,-9.5,0.32,-0.05,-0.06,-34.06,-62.88,-11.69,0.12,-0.28,-0.51,-49.81,-60,-12.56,0.03,-0.22,-0.37,-99.25,-46.13,-23.75,0.08,-1.39,-0.63,-96.44,-28.81,-31.62,0.05,0.68,-0.26,-2.69,-29.37,-25.62,0.19,-0.21,-0.26,-63,-19.37,-24.87,rightSwap
2.22,-0.33,0.2,404.81,-90.06,-23.44,3.12,4.28,-15.86,159.69,-162.12,62.81,-11.71,0.51,1.66,209.25,575.5,2.19,-10.33,-1.49,5.65,38.5,43.31,-25.62,0.82,2.72,0.87,-57.5,-65.75,-33.19,0.47,1.61,0.3,19.12,-24.56,-8.81,-0.4,-0.24,0.71,-33.94,-14.87,-9.63,-1.12,-0.25,0.29,-41.69,-50.44,-14.06,-0.85,-1.08,-0.05,-55.38,-72.75,-12,0.08,0.35,-0.69,-91.37,-69.5,-19.87,-0.02,0.27,-0.82,-140.25,-63.63,-34.63,0.18,0.57,-0.58,-133.12,-51.25,-48.13,0.34,0.05,-0.69,-125.5,-24.87,-53.69,0.22,0.58,-0.18,-42.25,-11,-39.44,0.5,-0.33,-0.74,-72.87,-2.06,-27,rightSwap
2.2,-0.29,-0.27,304.31,-59.44,-21.56,6.03,9.75,-18.24,269.69,-114.69,52.94,-10.77,-1.83,-1.68,245.69,611.69,41.37,-12.86,-3.6,4.55,87.37,141.75,47.81,-1.33,1.38,0.06,-67.25,-40.69,-34.69,-1.33,0.26,1.11,-16.19,-25.31,-21,-0.6,-0.26,0.76,-28.87,-57.62,-17,-0.55,-1.1,0.05,-12.06,-63.5,-25.06,0.36,0,0.21,-33.31,-50.81,-17.44,0.07,0.13,0.18,-20.19,-51.75,-19.75,0.19,0.06,0.2,-29.94,-45.06,-23.44,0.3,0.08,-0.08,-52.56,-37.19,-26,0.23,0.32,0.11,-63.56,-27.69,-16.44,0.13,-0.22,0.11,-97.25,-23.62,-23.75,0.15,-1.34,-0.12,-130.63,-16.06,-35.75,rightSwap
3.05,1.78,-2.44,365.81,-81,-17.56,0.34,3.83,-11.87,165.37,-104,68.37,-12.25,9.85,-3.85,100.94,628.75,139,-7.91,-3.88,5.24,77.81,15.81,-4.56,0.42,0.19,-0.33,-85.94,-62.56,-49,-0.45,-0.17,0.35,-27.56,-24.81,-8,-0.5,-0.11,0.64,-18.5,-36.5,-4.44,0.31,-0.45,0.47,-19.12,-41.25,-2.56,0.42,-0.87,0.23,-17.37,-46.63,-3.56,-0.02,-0.73,-0.15,-25.44,-35.75,-8.75,-0.13,0.64,0.05,-60.94,-19.69,-13.19,-0.39,0.65,0.29,-39.88,-25.81,-13.13,-0.45,-1.13,0.39,-63.38,-28.62,-23.12,-0.55,0.55,0.55,-80.69,-30.25,-25.69,-0.65,0.39,0.49,-113.5,-30.75,-39.5,rightSwap
2.48,-1.7,-0.3,212.19,-42.31,-20.5,4.23,9.47,-10.18,413.87,-135.37,44.13,-5.32,-1.51,-4.26,250.25,608.69,90.19,-11.32,-1.04,6.35,-20.69,285.13,33.94,-3.64,2.21,2.34,27.37,-44.5,-2.81,0.72,0.96,-1.13,-27.69,-49.13,-18,0,-0.64,0.22,6.56,-22.37,-2.12,-0.15,-1.04,0.61,-23.31,-12.81,-3.06,-0.34,0,0.52,-12.69,-23.25,-4.87,-1.27,0.24,0.23,-22.87,-28.25,-4.25,-0.91,-1.33,0.26,-27.75,-38.69,-10.94,-0.46,-0.88,0.3,-54.25,-45.19,-15.94,0.26,-1.15,0.56,-83.5,-46.88,-25.25,0.13,-0.96,0.54,-75.81,-49.56,-26.69,-0.04,-0.71,-0.05,-142.25,-50.56,-40.56,upSwap
3.19,1.36,-3.72,307.62,-68.62,-19.69,-1.16,8.57,-10.2,288.19,-28.44,37.31,3.69,0.66,-1.81,149.38,355.94,138.25,-8.75,-3.15,6.64,26.37,54,45.63,-1.3,2.57,1.38,-37.38,-12,-31,0,-0.98,-0.2,-22.19,-1.12,-29.69,0.12,0.17,0.56,-3.06,-15.75,-3.19,-0.36,-0.5,-0.04,-10.81,-31.25,-10.94,-0.09,-0.2,0.43,-1,-37.19,-15.63,0.3,0.2,-0.19,-3.37,-41.75,-10.75,0.29,-0.29,0.34,-6.37,-26.69,-4.56,0.11,-0.15,0.44,-17.94,-28.19,-1.69,-0.04,-0.04,0.37,-15.81,-36.19,-2.37,0.22,-0.13,0.03,-24.44,-41.88,-4.62,0.36,0.68,-0.33,-80.69,-38.94,-5.06,rightSwap
1.4,-1.34,1.29,50.63,-7.81,-57.75,2.69,0.22,-1.39,304.81,-60.88,-24.19,1.84,10.64,-14.43,200.94,-108.25,38.81,-6.79,-1.53,-5.23,279.5,600.94,65.44,-13.58,-0.74,5.42,86.31,288.62,80,-2.39,1.8,1.12,2.94,-65.62,-39.81,0.33,-0.21,-0.21,-7.19,-25.69,-34,1.1,-0.3,-0.05,-1.87,-10.06,-0.88,0.28,-0.37,0.56,-6.31,-5.5,1.81,-0.14,0,0.18,2.44,-22.69,-3.81,-0.41,-0.53,0.72,-12.25,-39.63,-2.94,-0.37,-0.96,0.37,-51.88,-39,-11.94,-0.1,-0.94,0.17,-20.62,-54.63,-15.13,0.26,-0.63,0.61,21.12,-71.94,-18.37,0.36,-0.16,0.13,-34.5,-70.87,-16.31,rightSwap
2.89,-1.54,-0.55,233.63,-63.63,-2.25,4.3,8.83,-12.27,220.5,-120.75,63.31,-7.8,-2.97,-3.36,228.94,565.75,100.38,-9.64,3.99,6.77,171.25,152.75,66.5,-1.08,1.99,1.4,-8.38,-33,-23.5,0.22,-1.13,0.17,-14,-4,-20.25,0.38,-0.37,0.52,-15.13,-2.69,-0.94,-0.32,-0.33,0.53,-9.25,-7.81,-0.31,-0.14,0.19,0.2,1.25,-13,-0.19,0.11,-0.39,0.23,1.56,-20.62,-3.62,0.36,-0.39,0.47,-5.81,-14.25,-4.19,-0.05,-0.4,0.3,-5.06,-17.5,-4,-0.25,-0.41,0.33,-11.63,-24.94,-3.12,-0.58,0.32,0.66,-38.19,-32.69,-6.06,0.24,1.28,0.1,-108.87,-53.75,-18.19,rightSwap
1.51,-1.82,0.55,159,-25.69,-40.88,4.25,2.76,-5.68,279.87,-122.19,-3.44,-3.45,3.76,-9.6,163,576.56,154.06,-11.03,-4.86,-0.16,106.56,342.13,102.12,-0.97,-0.78,0.76,24.69,-109.81,-22.62,0.21,-1.91,-0.48,-46.5,-35.88,-22.19,-0.05,-0.19,-0.37,-9.5,-4.69,-4.81,0.22,-0.06,0.76,-7.31,-12.25,-7,-0.54,-0.42,0.26,-29.87,-17.12,-4.31,-0.44,0.44,-0.08,-5.81,-22.06,-2.37,-0.38,0.02,0.08,-22.5,-31.25,-6.37,0.01,-0.08,0.72,-43.69,-30.56,-6.06,0,-0.54,-0.1,-35.25,-37.38,-8.69,0.05,-0.42,-0.31,-20.31,-37.94,-0.56,-0.2,-0.25,0.02,-14.44,-40.81,-2.56,rightSwap
2.41,-0.77,0.09,140.81,-69.62,-36.25,5.24,1.05,-7.99,115.62,-124.75,-0.88,-2.56,6.32,-4.45,168.94,483.12,112.37,-13.75,-2.91,-6.17,76,403.19,119.81,-4.75,-0.49,3.85,37.31,-19.06,13.81,0.44,-0.57,0.28,-62,-39,-47.94,0.38,-0.08,0.12,-1.75,-15.38,-14.94,0,-0.67,0.21,-17.87,-17.81,-12.44,0.47,0.09,0.14,3.5,-32.81,-11.38,0.02,0.03,0.3,-5.06,-37.94,-8.94,0.17,-0.23,-0.01,-6.56,-44.06,-8.75,-0.28,-0.06,-0.34,-12.81,-44.88,-5.25,-0.44,-0.42,-0.2,-18.25,-44.94,-7.06,-0.21,-0.35,-0.31,-12.81,-44,-11.94,0.01,-0.6,-0.25,-1.12,-45.81,-12.44,rightSwap
